"Level","Mario Type","Progress","Time Left","Kills","Mario Alive"
"ge/LVL-133.txt","0","0.24700086","18","0","false"
"ge/LVL-133.txt","1","0.23402709","15","0","false"
"ge/LVL-133.txt","2","0.23310801","18","0","false"
"ge/LVL-134.txt","0","0.21034287","18","0","false"
"ge/LVL-134.txt","1","0.20766477","18","0","false"
"ge/LVL-134.txt","2","0.20911439","18","0","false"
"ge/LVL-135.txt","0","0.4084474","14","0","false"
"ge/LVL-135.txt","1","0.585122","13","0","false"
"ge/LVL-135.txt","2","0.5638782","13","0","false"
"ge/LVL-136.txt","0","0.2603735","18","0","false"
"ge/LVL-136.txt","1","0.38368285","14","0","false"
"ge/LVL-136.txt","2","0.40894568","16","1","false"
"ge/LVL-137.txt","0","0.031262696","20","0","false"
"ge/LVL-137.txt","1","0.094096035","19","0","false"
"ge/LVL-137.txt","2","0.06316791","19","0","false"
"ge/LVL-138.txt","0","0.54076314","13","0","false"
"ge/LVL-138.txt","1","0.9611915","5","0","false"
"ge/LVL-138.txt","2","0.5377155","14","0","false"
"ge/LVL-139.txt","0","0.13287915","19","0","false"
"ge/LVL-139.txt","1","0.37601277","15","0","false"
"ge/LVL-139.txt","2","0.13287915","19","0","false"
"ge/LVL-140.txt","0","0.76585156","12","0","false"
"ge/LVL-140.txt","1","0.82676846","10","0","false"
"ge/LVL-140.txt","2","0.88061243","11","0","false"
"ge/LVL-141.txt","0","0.32768568","17","0","false"
"ge/LVL-141.txt","1","0.31059977","15","0","false"
"ge/LVL-141.txt","2","0.7085651","11","1","false"
"ge/LVL-142.txt","0","0.1384884","19","0","false"
"ge/LVL-142.txt","1","0.48804533","15","0","false"
"ge/LVL-142.txt","2","0.51275635","14","0","false"
"ge/LVL-143.txt","0","0.13854828","19","0","false"
"ge/LVL-143.txt","1","0.13896224","19","0","false"
"ge/LVL-143.txt","2","0.17590557","18","0","false"
"ge/LVL-144.txt","0","0.6482853","10","0","false"
"ge/LVL-144.txt","1","0.56644833","13","0","false"
"ge/LVL-144.txt","2","1.0","7","1","true"
"ge/LVL-145.txt","0","0.16866893","19","0","false"
"ge/LVL-145.txt","1","0.15943527","19","0","false"
"ge/LVL-145.txt","2","0.13819437","18","0","false"
"ge/LVL-146.txt","0","0.071518406","19","0","false"
"ge/LVL-146.txt","1","0.48852772","12","1","false"
"ge/LVL-146.txt","2","0.10070709","19","1","false"
"ge/LVL-147.txt","0","0.07310971","19","0","false"
"ge/LVL-147.txt","1","0.24626556","15","0","false"
"ge/LVL-147.txt","2","0.07621793","20","0","false"
"ge/LVL-148.txt","0","0.4653257","12","0","false"
"ge/LVL-148.txt","1","0.4880257","10","0","false"
"ge/LVL-148.txt","2","0.41692036","16","0","false"
"ge/LVL-149.txt","0","0.2737856","17","0","false"
"ge/LVL-149.txt","1","0.28867787","18","0","false"
"ge/LVL-149.txt","2","0.7432304","10","1","false"
"ge/LVL-150.txt","0","0.08590754","20","0","false"
"ge/LVL-150.txt","1","0.09073331","20","0","false"
"ge/LVL-150.txt","2","0.08516136","19","0","false"
"ge/LVL-151.txt","0","0.07674432","19","0","false"
"ge/LVL-151.txt","1","0.26522988","16","0","false"
"ge/LVL-151.txt","2","0.10838806","19","0","false"
"ge/LVL-152.txt","0","0.30899101","14","0","false"
"ge/LVL-152.txt","1","0.33895898","14","0","false"
"ge/LVL-152.txt","2","0.3086244","16","0","false"
"ge/LVL-153.txt","0","0.22483604","16","0","false"
"ge/LVL-153.txt","1","0.33041266","17","0","false"
"ge/LVL-153.txt","2","0.24184398","18","0","false"
"ge/LVL-154.txt","0","0.2960407","16","0","false"
"ge/LVL-154.txt","1","0.4890985","13","0","false"
"ge/LVL-154.txt","2","0.71183234","9","1","false"
"ge/LVL-155.txt","0","0.6164839","12","0","false"
"ge/LVL-155.txt","1","0.16293181","18","0","false"
"ge/LVL-155.txt","2","0.32432896","17","0","false"
"ge/LVL-156.txt","0","0.31988913","16","0","false"
"ge/LVL-156.txt","1","0.3763885","15","0","false"
"ge/LVL-156.txt","2","0.30633307","13","0","false"
"ge/LVL-157.txt","0","1.0","5","0","true"
"ge/LVL-157.txt","1","0.4454711","13","0","false"
"ge/LVL-157.txt","2","0.3563667","14","0","false"
"ge/LVL-158.txt","0","0.4497566","14","0","false"
"ge/LVL-158.txt","1","0.45327172","13","0","false"
"ge/LVL-158.txt","2","0.4786016","13","0","false"
"ge/LVL-159.txt","0","0.0895588","19","0","false"
"ge/LVL-159.txt","1","0.07942492","19","0","false"
"ge/LVL-159.txt","2","0.13783564","19","0","false"
"ge/LVL-160.txt","0","0.301351","16","0","false"
"ge/LVL-160.txt","1","0.3290218","16","0","false"
"ge/LVL-160.txt","2","0.37315926","15","0","false"
"ge/LVL-161.txt","0","0.46882227","15","0","false"
"ge/LVL-161.txt","1","0.4660416","15","0","false"
"ge/LVL-161.txt","2","1.0","6","1","true"
"ge/LVL-162.txt","0","0.29799753","10","0","false"
"ge/LVL-162.txt","1","0.6406195","9","0","false"
"ge/LVL-162.txt","2","0.63540745","10","0","false"
"ge/LVL-163.txt","0","0.29689896","16","0","false"
"ge/LVL-163.txt","1","0.8098736","6","0","false"
"ge/LVL-163.txt","2","0.05892146","20","0","false"
"ge/LVL-164.txt","0","0.3688615","17","0","false"
"ge/LVL-164.txt","1","0.35671034","12","0","false"
"ge/LVL-164.txt","2","0.3547839","13","0","false"
"ge/LVL-165.txt","0","0.21068148","17","0","false"
"ge/LVL-165.txt","1","0.217964","18","0","false"
"ge/LVL-165.txt","2","0.057202473","20","0","false"
"ge/LVL-166.txt","0","0.119079664","19","0","false"
"ge/LVL-166.txt","1","0.0654088","20","0","false"
"ge/LVL-166.txt","2","0.12578936","19","0","false"
"ge/LVL-167.txt","0","0.13606517","19","0","false"
"ge/LVL-167.txt","1","0.12203897","19","0","false"
"ge/LVL-167.txt","2","0.33834475","9","1","false"
"ge/LVL-168.txt","0","0.23932827","17","0","false"
"ge/LVL-168.txt","1","0.19842754","14","0","false"
"ge/LVL-168.txt","2","0.20236735","18","1","false"
"ge/LVL-169.txt","0","0.13291925","17","0","false"
"ge/LVL-169.txt","1","0.085594706","17","0","false"
"ge/LVL-169.txt","2","0.881429","0","2","true"
"ge/LVL-170.txt","0","0.16316517","19","0","false"
"ge/LVL-170.txt","1","0.17636222","18","0","false"
"ge/LVL-170.txt","2","0.16515169","19","0","false"
"ge/LVL-171.txt","0","0.7461806","13","0","false"
"ge/LVL-171.txt","1","0.18130416","19","0","false"
"ge/LVL-171.txt","2","0.18104534","18","0","false"
"ge/LVL-172.txt","0","0.34403476","16","0","false"
"ge/LVL-172.txt","1","0.3370725","15","0","false"
"ge/LVL-172.txt","2","0.13747773","19","0","false"
"ge/LVL-173.txt","0","0.21213076","13","0","false"
"ge/LVL-173.txt","1","0.2130077","18","0","false"
"ge/LVL-173.txt","2","0.43086788","14","0","false"
"ge/LVL-174.txt","0","0.048487112","20","0","false"
"ge/LVL-174.txt","1","0.2856498","14","1","false"
"ge/LVL-174.txt","2","0.25853264","16","0","false"
"ge/LVL-175.txt","0","0.18716343","18","0","false"
"ge/LVL-175.txt","1","0.8877548","9","0","false"
"ge/LVL-175.txt","2","0.6590639","7","1","false"
"ge/LVL-176.txt","0","0.13629551","19","0","false"
"ge/LVL-176.txt","1","0.09073331","20","0","false"
"ge/LVL-176.txt","2","0.07898807","20","0","false"
"ge/LVL-177.txt","0","0.53703344","15","0","false"
"ge/LVL-177.txt","1","0.5669602","14","0","false"
"ge/LVL-177.txt","2","0.19806671","19","0","false"
"ge/LVL-178.txt","0","0.08069771","19","0","false"
"ge/LVL-178.txt","1","0.11159074","19","0","false"
"ge/LVL-178.txt","2","0.20629562","18","1","false"
"ge/LVL-179.txt","0","0.06409021","20","0","false"
"ge/LVL-179.txt","1","0.22685301","17","0","false"
"ge/LVL-179.txt","2","0.09271268","19","1","false"
"ge/LVL-180.txt","0","0.5855329","10","0","false"
"ge/LVL-180.txt","1","0.56216615","15","0","false"
"ge/LVL-180.txt","2","0.23931438","16","1","false"
"ge/LVL-181.txt","0","0.2675903","17","0","false"
"ge/LVL-181.txt","1","0.6941312","12","0","false"
"ge/LVL-181.txt","2","1.0","6","2","true"
"ge/LVL-182.txt","0","0.07022713","20","0","false"
"ge/LVL-182.txt","1","0.17781132","18","0","false"
"ge/LVL-182.txt","2","0.14991246","18","0","false"
"ge/LVL-183.txt","0","0.1264239","17","0","false"
"ge/LVL-183.txt","1","0.29802114","16","1","false"
"ge/LVL-183.txt","2","0.10311593","19","0","false"
"ge/LVL-184.txt","0","0.12352329","17","0","false"
"ge/LVL-184.txt","1","0.46301624","15","0","false"
"ge/LVL-184.txt","2","0.17451923","18","1","false"
"ge/LVL-185.txt","0","0.073998414","20","0","false"
"ge/LVL-185.txt","1","0.20034355","18","0","false"
"ge/LVL-185.txt","2","0.19436523","18","1","false"
"ge/LVL-186.txt","0","0.38465765","16","0","false"
"ge/LVL-186.txt","1","0.13747773","19","0","false"
"ge/LVL-186.txt","2","0.16706274","18","0","false"
"ge/LVL-187.txt","0","0.60082823","13","0","false"
"ge/LVL-187.txt","1","0.596715","13","0","false"
"ge/LVL-187.txt","2","0.5914861","13","1","false"
"ge/LVL-188.txt","0","0.33105755","16","0","false"
"ge/LVL-188.txt","1","0.26825568","16","0","false"
"ge/LVL-188.txt","2","0.2787656","17","0","false"
"ge/LVL-189.txt","0","0.1650205","19","0","false"
"ge/LVL-189.txt","1","0.2837004","15","0","false"
"ge/LVL-189.txt","2","1.0","9","2","true"
"ge/LVL-190.txt","0","0.30568984","16","0","false"
"ge/LVL-190.txt","1","0.40937814","15","0","false"
"ge/LVL-190.txt","2","0.29990157","17","0","false"
"ge/LVL-191.txt","0","0.1138752","17","0","false"
"ge/LVL-191.txt","1","0.120070994","18","0","false"
"ge/LVL-191.txt","2","0.09484988","18","0","false"
"ge/LVL-192.txt","0","0.24166605","16","0","false"
"ge/LVL-192.txt","1","0.26784387","17","0","false"
"ge/LVL-192.txt","2","0.225","18","1","false"
"ge/LVL-193.txt","0","0.06409021","20","0","false"
"ge/LVL-193.txt","1","0.06409021","20","0","false"
"ge/LVL-193.txt","2","0.06409021","20","0","false"
"ge/LVL-194.txt","0","0.027005175","18","0","false"
"ge/LVL-194.txt","1","0.23635209","17","0","false"
"ge/LVL-194.txt","2","0.17509866","19","0","false"
"ge/LVL-195.txt","0","0.15917103","19","0","false"
"ge/LVL-195.txt","1","0.16774988","19","0","false"
"ge/LVL-195.txt","2","0.16774274","18","0","false"
"ge/LVL-196.txt","0","0.6352102","14","0","false"
"ge/LVL-196.txt","1","0.48069656","14","0","false"
"ge/LVL-196.txt","2","0.12714","19","0","false"
"ge/LVL-197.txt","0","0.6894852","9","1","false"
"ge/LVL-197.txt","1","0.5727446","12","0","false"
"ge/LVL-197.txt","2","0.5340608","14","1","false"
"ge/LVL-198.txt","0","0.62951255","14","0","false"
"ge/LVL-198.txt","1","0.33930096","17","0","false"
"ge/LVL-198.txt","2","0.34243855","16","1","false"
"ge/LVL-199.txt","0","0.26184022","17","0","false"
"ge/LVL-199.txt","1","0.2648016","16","0","false"
"ge/LVL-199.txt","2","0.2560344","16","0","false"
"ge/LVL-200.txt","0","0.19580856","18","0","false"
"ge/LVL-200.txt","1","0.20932823","18","0","false"
"ge/LVL-200.txt","2","0.21626222","17","0","false"
"ge/LVL-201.txt","0","0.1712692","18","0","false"
"ge/LVL-201.txt","1","0.18403836","18","0","false"
"ge/LVL-201.txt","2","0.20797099","18","1","false"
"ge/LVL-202.txt","0","0.43362638","12","0","false"
"ge/LVL-202.txt","1","0.29428732","14","0","false"
"ge/LVL-202.txt","2","0.6487454","12","0","false"
