"level","progress","time left","kills"
"GE/LVL-1.txt","0.3981037","18","0"
"GE/LVL-2.txt","1.0","14","0"
"GE/LVL-3.txt","1.0","14","0"
"GE/LVL-4.txt","0.9946277","14","0"
"GE/LVL-5.txt","1.0","14","0"
"GE/LVL-6.txt","0.18200874","19","0"
"GE/LVL-7.txt","1.0","14","0"
"GE/LVL-8.txt","1.0","14","0"
"GE/LVL-9.txt","1.0","14","0"
"GE/LVL-10.txt","1.0","14","0"
"GE/LVL-11.txt","1.0","14","0"
"GE/LVL-12.txt","1.0","14","0"
"GE/LVL-13.txt","0.4883927","17","0"
"GE/LVL-14.txt","1.0","14","0"
"GE/LVL-15.txt","1.0","14","0"
"GE/LVL-16.txt","0.35419768","18","0"
"GE/LVL-17.txt","1.0","14","0"
"GE/LVL-18.txt","0.35435304","18","1"
"GE/LVL-19.txt","1.0","14","0"
"GE/LVL-20.txt","1.0","14","0"
"GE/LVL-21.txt","1.0","14","0"
"GE/LVL-22.txt","1.0","14","0"
"GE/LVL-23.txt","0.8110609","16","0"
"GE/LVL-24.txt","0.2761627","19","0"
"GE/LVL-25.txt","1.0","14","0"
"GE/LVL-26.txt","0.99987173","14","0"
"GE/LVL-27.txt","1.0","14","0"
"GE/LVL-28.txt","1.0","14","0"
"GE/LVL-29.txt","1.0","14","0"
"GE/LVL-30.txt","0.13026251","19","0"
"GE/LVL-31.txt","0.28661692","19","0"
"GE/LVL-32.txt","0.50686604","17","0"
"GE/LVL-33.txt","1.0","14","0"
"GE/LVL-34.txt","1.0","14","0"
"GE/LVL-35.txt","0.40664056","18","0"
"GE/LVL-36.txt","0.8110714","15","0"
"GE/LVL-37.txt","1.0","14","0"
"GE/LVL-38.txt","0.7907722","15","0"
"GE/LVL-39.txt","0.8267956","15","0"
"GE/LVL-40.txt","1.0","14","0"
"GE/LVL-41.txt","1.0","14","0"
"GE/LVL-42.txt","0.3981441","18","0"
"GE/LVL-43.txt","0.13026251","19","0"
"GE/LVL-44.txt","0.99930066","14","0"
"GE/LVL-45.txt","0.3981037","18","0"
"GE/LVL-46.txt","1.0","14","0"
"GE/LVL-47.txt","1.0","14","0"
"GE/LVL-48.txt","0.66421175","16","0"
"GE/LVL-49.txt","1.0","14","0"
"GE/LVL-50.txt","1.0","14","0"
"GE/LVL-51.txt","1.0","14","0"
"GE/LVL-52.txt","0.7910508","16","0"
"GE/LVL-53.txt","1.0","14","0"
"GE/LVL-54.txt","1.0","14","0"
"GE/LVL-55.txt","0.6164287","17","0"
"GE/LVL-56.txt","1.0","14","0"
"GE/LVL-57.txt","0.9788928","14","0"
"GE/LVL-58.txt","0.48531246","17","0"
"GE/LVL-59.txt","0.8739978","15","0"
"GE/LVL-60.txt","1.0","14","0"
"GE/LVL-61.txt","1.0","14","0"
"GE/LVL-62.txt","1.0","14","0"
"GE/LVL-63.txt","1.0","14","0"
"GE/LVL-64.txt","0.6222503","17","0"
"GE/LVL-65.txt","1.0","14","0"
"GE/LVL-66.txt","0.30320266","18","0"
"GE/LVL-67.txt","0.7442549","16","1"
"GE/LVL-68.txt","1.0","14","0"
"GE/LVL-69.txt","1.0","14","0"
"GE/LVL-70.txt","0.89497674","15","0"
"GE/LVL-71.txt","0.34498033","18","0"
"GE/LVL-72.txt","0.6920435","16","0"
"GE/LVL-73.txt","0.99987173","14","0"
"GE/LVL-74.txt","1.0","14","0"
"GE/LVL-75.txt","1.0","14","0"
"GE/LVL-76.txt","1.0","14","0"
"GE/LVL-77.txt","1.0","14","1"
"GE/LVL-78.txt","0.61001015","17","0"
"GE/LVL-79.txt","1.0","14","0"
"GE/LVL-80.txt","0.8844873","15","0"
"GE/LVL-81.txt","1.0","14","0"
"GE/LVL-82.txt","0.42295113","18","0"
"GE/LVL-83.txt","0.44917494","18","0"
"GE/LVL-84.txt","0.17160265","19","0"
"GE/LVL-85.txt","0.99987173","14","0"
"GE/LVL-86.txt","0.9790541","14","0"
"GE/LVL-87.txt","1.0","14","0"
"GE/LVL-88.txt","1.0","14","0"
"GE/LVL-89.txt","0.8530198","15","0"
"GE/LVL-90.txt","1.0","14","0"
"GE/LVL-91.txt","1.0","14","0"
"GE/LVL-92.txt","1.0","14","0"
"GE/LVL-93.txt","1.0","14","0"
"GE/LVL-94.txt","0.80057144","16","0"
"GE/LVL-95.txt","0.5593134","17","0"
"GE/LVL-96.txt","1.0","14","0"
"GE/LVL-97.txt","0.8217417","15","0"
"GE/LVL-98.txt","1.0","14","0"
"GE/LVL-99.txt","1.0","14","0"
