"Level","Mario Type","Progress","Time Left","Kills","Mario Alive"
"ge/LVL-1.txt","0","0.2295309","19","0","false"
"ge/LVL-1.txt","1","0.24896258","18","0","false"
"ge/LVL-1.txt","2","0.24896258","18","0","false"
"ge/LVL-2.txt","0","0.1461807","19","0","false"
"ge/LVL-2.txt","1","0.43100378","17","0","false"
"ge/LVL-2.txt","2","0.758989","15","0","false"
"ge/LVL-3.txt","0","0.18464226","19","0","false"
"ge/LVL-3.txt","1","0.48001042","17","0","false"
"ge/LVL-3.txt","2","0.98464274","14","0","false"
"ge/LVL-4.txt","0","0.2384884","19","0","false"
"ge/LVL-4.txt","1","0.53906405","17","0","false"
"ge/LVL-4.txt","2","0.53906405","17","0","false"
"ge/LVL-5.txt","0","0.28464222","18","0","false"
"ge/LVL-5.txt","1","0.8239444","15","0","false"
"ge/LVL-5.txt","2","0.9769498","14","0","false"
"ge/LVL-6.txt","0","0.10002685","19","0","false"
"ge/LVL-6.txt","1","0.5628401","16","0","false"
"ge/LVL-6.txt","2","0.5628401","16","0","false"
"ge/LVL-7.txt","0","0.067403845","20","0","false"
"ge/LVL-7.txt","1","0.067403845","20","0","false"
"ge/LVL-7.txt","2","0.067403845","20","0","false"
"ge/LVL-8.txt","0","0.5384883","16","0","false"
"ge/LVL-8.txt","1","0.96925753","13","0","false"
"ge/LVL-8.txt","2","1.0","13","0","true"
"ge/LVL-9.txt","0","0.09090927","20","0","false"
"ge/LVL-9.txt","1","0.1598309","19","0","false"
"ge/LVL-9.txt","2","0.15913461","19","0","false"
"ge/LVL-10.txt","0","0.07620617","20","0","false"
"ge/LVL-10.txt","1","0.07620617","20","0","false"
"ge/LVL-10.txt","2","0.07620617","20","0","false"
"ge/LVL-11.txt","0","0.1461807","19","0","false"
"ge/LVL-11.txt","1","0.6923345","16","0","false"
"ge/LVL-11.txt","2","0.9023981","14","0","false"
"ge/LVL-12.txt","0","0.7399373","16","0","false"
"ge/LVL-12.txt","1","0.7399373","16","0","false"
"ge/LVL-12.txt","2","1.0","14","0","true"
"ge/LVL-13.txt","0","0.20771918","19","0","false"
"ge/LVL-13.txt","1","0.45838192","17","0","false"
"ge/LVL-13.txt","2","0.91016835","14","0","false"
"ge/LVL-14.txt","0","0.23706412","19","0","false"
"ge/LVL-14.txt","1","0.23706412","19","0","false"
"ge/LVL-14.txt","2","0.23706412","19","0","false"
"ge/LVL-15.txt","0","0.54124296","17","0","false"
"ge/LVL-15.txt","1","0.3971191","18","0","false"
"ge/LVL-15.txt","2","0.3971191","18","0","false"
"ge/LVL-16.txt","0","0.18528573","19","0","false"
"ge/LVL-16.txt","1","0.35838193","18","0","false"
"ge/LVL-16.txt","2","0.6737665","15","1","false"
"ge/LVL-17.txt","0","0.24641715","19","0","false"
"ge/LVL-17.txt","1","0.24641715","19","0","false"
"ge/LVL-17.txt","2","0.24641715","19","0","false"
"ge/LVL-18.txt","0","0.18464226","19","1","false"
"ge/LVL-18.txt","1","0.3199204","18","1","false"
"ge/LVL-18.txt","2","0.5366355","16","1","false"
"ge/LVL-19.txt","0","0.15626383","19","0","false"
"ge/LVL-19.txt","1","0.15626383","19","0","false"
"ge/LVL-19.txt","2","0.15626383","19","0","false"
"ge/LVL-20.txt","0","0.09684346","19","0","false"
"ge/LVL-20.txt","1","0.36156532","17","0","false"
"ge/LVL-20.txt","2","0.48448265","16","0","false"
"ge/LVL-21.txt","0","0.3580547","18","0","false"
"ge/LVL-21.txt","1","0.8000268","15","0","false"
"ge/LVL-21.txt","2","1.0","14","0","true"
"ge/LVL-22.txt","0","0.2660742","18","0","false"
"ge/LVL-22.txt","1","0.2660742","18","0","false"
"ge/LVL-22.txt","2","0.43747032","16","0","false"
"ge/LVL-23.txt","0","0.3324705","18","0","false"
"ge/LVL-23.txt","1","0.3324705","18","0","false"
"ge/LVL-23.txt","2","0.3324705","18","0","false"
"ge/LVL-24.txt","0","0.2461807","18","0","false"
"ge/LVL-24.txt","1","0.47694993","16","0","false"
"ge/LVL-24.txt","2","1.0","13","0","true"
"ge/LVL-25.txt","0","0.66449934","16","0","false"
"ge/LVL-25.txt","1","0.66449934","16","0","false"
"ge/LVL-25.txt","2","0.66449934","16","1","false"
"ge/LVL-26.txt","0","1.0","14","0","true"
"ge/LVL-26.txt","1","1.0","14","0","true"
"ge/LVL-26.txt","2","1.0","14","0","true"
"ge/LVL-27.txt","0","0.4276127","18","0","false"
"ge/LVL-27.txt","1","1.0","13","0","true"
